Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1648684800;2667;2510;1205;551;276;139;137;79
1648771200;954172;894576;420191;178672;87572;51496;34880;14443
