Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1646006400;1953;1761;829;319;142;86;66;28
1646092800;1489607;1288539;590169;245965;115304;65060;44099;18679
