Time;Total
1592956800;427418
1593561600;2083242
1596240000;1639909
1599004800;1908856
1601510400;2052846
1604188800;2073445
1606780800;2217088
1609459200;2275427
1612137600;1538902
1614556800;0
1614556800;0
1617235200;0
1617235200;1127468
1619827200;2253199
1622505600;2183037
1625097600;2237567
1627776000;2190188
1630454400;2196588
1633046400;2291062
1635724800;2237139
1638316800;2293162
1640995200;2295644
1643673600;2074384
1646092800;2296504
1648771200;2125465
1651363200;710388
